enrollee_id,training_hours
8949,36
29725,47
11561,83
33241,52
666,8
21651,24
28806,24
402,18
27107,46
699,123
29452,32
23853,108
25619,23
5826,24
8722,26
6588,18
4167,106
5764,7
2156,23
11399,132
31972,68
19061,50
6491,48
7041,65
22767,13
14505,22
17139,148
28476,72
21538,8
10408,68
14928,40
22293,141
4324,24
26966,82
26494,145
4866,206
12726,152
10164,42
8612,50
24659,106
2547,14
13854,36
31654,112
13643,108
5590,7
22452,26
9006,87
25987,52
4476,20
25103,21
5568,92
2195,102
30533,26
28512,7
1023,43
12253,45
25296,52
13238,19
13478,32
18578,26
29975,90
26516,25
24690,15
8433,48
9572,98
5878,142
25695,13
9645,47
12730,28
4830,228
20970,22
17271,18
12731,29
10908,46
29117,12
3686,17
22683,65
22134,35
31765,14
31449,4
5987,12
21762,108
22070,136
25413,27
5902,74
28403,86
30937,83
28751,75
29290,42
32401,332
19128,140
29036,182
16869,13
10497,172
18099,48
12081,33
7364,142
11184,34
7016,14
8695,27
6172,24
14672,150
18257,20
24493,140
1180,52
28627,160
8168,3
10473,2
25349,28
5220,46
4789,210
11338,36
27963,160
8571,101
16303,46
20576,19
32966,26
21199,90
18819,59
14199,260
7666,74
13915,20
10555,8
16040,131
32826,45
13253,109
15637,70
28074,17
23012,51
16110,60
3921,4
24530,7
1924,164
32776,290
1907,145
23947,70
3116,24
24829,133
30488,20
1265,76
22098,21
13342,34
24608,15
20081,156
24796,15
7777,120
22718,47
1261,100
3396,102
4283,52
18998,39
2003,112
31786,14
8241,4
12154,55
23455,49
19882,72
28817,141
4656,28
7280,6
16903,125
13333,326
26241,33
12381,40
4064,198
32092,55
3766,32
30496,11
7189,41
29497,87
31593,114
12384,33
11986,15
31033,8
14835,22
3728,13
3024,246
23508,22
29457,81
12297,11
27708,24
3065,50
29226,15
5493,31
2891,84
32509,42
31841,105
907,72
29526,42
10956,152
26099,60
26163,8
4120,17
7335,33
706,38
9890,178
32683,11
27104,87
7731,84
31943,32
22899,31
33339,39
20866,12
21634,50
29529,55
4478,7
32095,104
18272,90
30098,8
23825,102
7672,202
5633,22
30695,42
5573,50
24936,88
397,81
31602,7
5278,218
16814,62
19249,83
9475,11
4865,10
20881,114
21563,36
25114,17
26002,80
8528,108
6141,45
27667,77
2821,8
21216,28
25495,37
20791,108
28015,162
10685,41
405,4
13891,41
33050,12
399,190
8202,29
8751,11
20744,30
25380,39
24617,16
12509,5
25473,39
13083,29
12454,210
3500,54
15922,44
6685,47
28838,74
24082,8
24846,20
1020,162
6189,110
16994,262
13135,6
14578,19
20732,23
16496,107
16537,134
17358,40
21933,11
7342,102
5630,100
24152,30
17762,20
4310,4
5142,15
22319,14
30912,103
20976,40
13150,27
12206,46
9407,110
13152,96
1069,57
25418,240
22689,42
5104,16
13994,40
27064,94
14598,160
9571,25
30854,11
25290,29
29640,23
17519,113
12111,56
6085,39
27277,20
31692,40
6052,56
18161,106
12934,64
30400,51
26419,41
4188,150
12117,320
28847,20
30472,9
32534,74
22395,129
4876,42
25182,58
26135,126
7517,45
2793,166
25174,110
5593,37
14003,95
33057,29
30484,31
14688,97
25459,16
23657,14
20322,206
22194,204
31401,116
14914,161
20376,25
27530,94
24701,16
6790,100
10102,107
10338,17
15701,140
21218,75
1586,59
9189,146
13788,302
10752,42
28406,131
26320,74
17460,22
18657,53
9384,143
4269,72
14935,7
28033,182
1568,50
15465,82
26233,58
24729,94
29440,60
32652,124
28556,46
12875,57
21078,17
30331,101
5899,31
22787,36
27435,198
2855,31
18385,12
27866,31
7328,26
24807,55
27113,8
6008,38
760,8
2990,32
28229,51
4162,22
27326,17
604,24
2194,19
21564,46
17432,15
13952,23
1988,38
23691,46
10481,214
8540,52
8806,22
15468,65
32747,64
1297,86
4075,52
12772,21
22517,86
26388,288
30676,53
18376,60
10970,178
29961,166
5136,62
20369,35
23505,106
11751,58
12038,44
28590,72
32699,80
10370,166
4095,25
5340,109
9217,37
15294,55
23901,32
5673,51
25421,84
20698,72
41,47
23636,47
9387,20
21466,198
9515,64
20743,23
25766,96
4626,306
4642,8
16178,48
1829,98
2377,46
8287,53
10529,102
30608,76
27546,43
32324,32
8442,54
8151,7
15796,322
9420,96
17083,7
16414,53
32340,161
18462,11
7996,6
30636,72
29982,182
29217,67
18454,50
22508,16
25969,38
28080,98
21134,7
30925,88
29000,112
26925,30
7696,9
25525,36
21989,24
10984,28
26543,166
32043,61
15343,24
30967,8
30191,133
13537,143
23185,29
1434,53
9600,11
25963,7
5141,87
657,18
29991,76
18759,114
23081,56
5731,30
20135,80
18620,52
24226,13
10092,42
1950,56
7909,12
11966,36
10017,67
28391,13
361,100
20797,58
25041,18
18476,90
26668,59
18586,35
17783,11
13256,15
6283,206
2586,130
15279,30
28468,88
17941,18
23384,41
4978,16
28641,95
28915,53
33367,220
14999,21
3999,94
9860,20
31153,47
26616,60
24366,78
19986,5
17786,20
1396,2
22954,206
14775,90
