enrollee_id,relevent_experience,experience,company_size,company_type,last_new_job
8949,Has relevent experience,>20,,,1
29725,No relevent experience,15,50-99,Pvt Ltd,>4
11561,No relevent experience,5,,,never
33241,No relevent experience,<1,,Pvt Ltd,never
666,Has relevent experience,>20,50-99,Funded Startup,4
21651,Has relevent experience,11,,,1
28806,Has relevent experience,5,50-99,Funded Startup,1
402,Has relevent experience,13,<10,Pvt Ltd,>4
27107,Has relevent experience,7,50-99,Pvt Ltd,1
699,Has relevent experience,17,10000+,Pvt Ltd,>4
29452,No relevent experience,2,,,never
23853,Has relevent experience,5,5000-9999,Pvt Ltd,1
25619,Has relevent experience,>20,1000-4999,Pvt Ltd,3
5826,No relevent experience,2,,,never
8722,No relevent experience,5,,,never
6588,Has relevent experience,16,10/49,Pvt Ltd,>4
4167,Has relevent experience,1,50-99,Pvt Ltd,never
5764,Has relevent experience,2,5000-9999,Pvt Ltd,2
2156,Has relevent experience,7,10000+,Pvt Ltd,never
11399,Has relevent experience,4,,,1
31972,Has relevent experience,11,100-500,Pvt Ltd,1
19061,Has relevent experience,11,100-500,Pvt Ltd,2
6491,Has relevent experience,10,,,1
7041,Has relevent experience,<1,1000-4999,Pvt Ltd,1
22767,Has relevent experience,5,1000-4999,Pvt Ltd,1
14505,No relevent experience,4,,,never
17139,Has relevent experience,14,500-999,Pvt Ltd,1
28476,Has relevent experience,5,,,2
21538,Has relevent experience,11,<10,Pvt Ltd,1
10408,Has relevent experience,18,50-99,Funded Startup,2
14928,Has relevent experience,>20,100-500,Pvt Ltd,3
22293,Has relevent experience,19,5000-9999,Pvt Ltd,>4
4324,No relevent experience,5,,,1
26966,Has relevent experience,>20,100-500,Pvt Ltd,>4
26494,Has relevent experience,12,5000-9999,Pvt Ltd,3
4866,Has relevent experience,10,10/49,Early Stage Startup,2
12726,No relevent experience,1,10000+,Other,1
10164,Has relevent experience,>20,100-500,Pvt Ltd,4
8612,No relevent experience,12,,,4
24659,No relevent experience,3,,,never
2547,Has relevent experience,16,1000-4999,Public Sector,2
13854,Has relevent experience,4,10/49,Pvt Ltd,2
31654,Has relevent experience,6,50-99,Early Stage Startup,1
13643,No relevent experience,9,50-99,Pvt Ltd,never
5590,Has relevent experience,9,5000-9999,Pvt Ltd,3
22452,No relevent experience,5,,,never
9006,Has relevent experience,5,100-500,Pvt Ltd,never
25987,Has relevent experience,19,10000+,Public Sector,4
4476,Has relevent experience,15,,,>4
25103,Has relevent experience,11,10/49,Pvt Ltd,1
5568,No relevent experience,4,,,1
2195,Has relevent experience,10,100-500,Pvt Ltd,2
30533,No relevent experience,5,10000+,Pvt Ltd,>4
28512,Has relevent experience,3,<10,Early Stage Startup,2
1023,No relevent experience,4,10000+,Pvt Ltd,1
12253,Has relevent experience,>20,100-500,Pvt Ltd,1
25296,Has relevent experience,2,50-99,Early Stage Startup,2
13238,Has relevent experience,>20,,,2
13478,Has relevent experience,2,10/49,Funded Startup,
18578,Has relevent experience,>20,100-500,Pvt Ltd,>4
29975,Has relevent experience,6,,,1
26516,Has relevent experience,6,100-500,Pvt Ltd,3
24690,Has relevent experience,13,<10,,1
8433,Has relevent experience,>20,100-500,Pvt Ltd,>4
9572,No relevent experience,3,,,
5878,Has relevent experience,10,50-99,Pvt Ltd,2
25695,No relevent experience,4,10000+,Pvt Ltd,4
9645,Has relevent experience,15,,,>4
12730,Has relevent experience,14,500-999,Public Sector,1
4830,No relevent experience,2,,Pvt Ltd,never
20970,Has relevent experience,>20,,,4
17271,No relevent experience,<1,,,never
12731,Has relevent experience,2,10/49,Pvt Ltd,1
10908,Has relevent experience,5,100-500,,1
29117,No relevent experience,<1,,,never
3686,Has relevent experience,5,100-500,Pvt Ltd,2
22683,Has relevent experience,5,50-99,Pvt Ltd,2
22134,No relevent experience,3,100-500,Pvt Ltd,1
31765,No relevent experience,9,10000+,Pvt Ltd,3
31449,Has relevent experience,2,<10,Early Stage Startup,1
5987,Has relevent experience,15,50-99,Pvt Ltd,>4
21762,Has relevent experience,>20,50-99,Pvt Ltd,2
22070,No relevent experience,>20,,,1
25413,Has relevent experience,5,10/49,,1
5902,Has relevent experience,4,50-99,Funded Startup,1
28403,Has relevent experience,15,10/49,Early Stage Startup,1
30937,No relevent experience,<1,10/49,Pvt Ltd,2
28751,No relevent experience,4,,,3
29290,No relevent experience,11,,Public Sector,2
32401,Has relevent experience,6,100-500,,1
19128,No relevent experience,4,,,
29036,No relevent experience,3,,,never
16869,No relevent experience,3,100-500,Pvt Ltd,1
10497,Has relevent experience,5,10/49,Pvt Ltd,2
18099,Has relevent experience,10,100-500,NGO,1
12081,Has relevent experience,9,50-99,Pvt Ltd,1
7364,No relevent experience,2,100-500,Pvt Ltd,1
11184,No relevent experience,2,100-500,Pvt Ltd,1
7016,Has relevent experience,6,50-99,Pvt Ltd,2
8695,Has relevent experience,6,10/49,Pvt Ltd,2
6172,Has relevent experience,8,100-500,Pvt Ltd,1
14672,No relevent experience,>20,,,1
18257,Has relevent experience,11,500-999,NGO,>4
24493,Has relevent experience,5,500-999,,1
1180,Has relevent experience,12,5000-9999,Pvt Ltd,1
28627,Has relevent experience,>20,50-99,Pvt Ltd,2
8168,Has relevent experience,9,5000-9999,Pvt Ltd,2
10473,Has relevent experience,2,<10,Pvt Ltd,2
