Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,cluster_id,segment_label,distance_to_centroid,boundary_margin
2,3,12669,9656,7561,214,2674,1338,0,High & Diverse Spenders,1.8726768637305586,0.21684863334533566
2,3,7057,9810,9568,1762,3293,1776,0,High & Diverse Spenders,0.4399499486116428,1.820319154422815
2,3,6353,8808,7684,2405,3516,7844,0,High & Diverse Spenders,1.2071005186932668,1.9331037854358153
1,3,13265,1196,4221,6404,507,1788,1,Traditional Food Buyers,1.5344664634580472,0.8081182276941097
2,3,22615,5410,7198,3915,1777,5185,0,High & Diverse Spenders,1.1518137079952007,1.608475886547889
2,3,9413,8259,5126,666,1795,1451,0,High & Diverse Spenders,1.1920496052872671,0.8666012069183846
2,3,12126,3199,6975,480,3140,545,2,Grocery & Consumer Goods,1.7831771773335223,0.017364298917697862
2,3,7579,4956,9426,1669,3321,2566,0,High & Diverse Spenders,0.6335102242574724,1.7500863622814884
1,3,5963,3648,6192,425,1716,750,2,Grocery & Consumer Goods,1.473432981390735,0.3208333446435512
2,3,6006,11093,18881,1159,7425,2098,0,High & Diverse Spenders,1.072289272323116,1.2091883683642082
2,3,3366,5403,12974,4400,5977,1744,0,High & Diverse Spenders,1.1696586377439806,1.3372596260935496
2,3,13146,1124,4523,1420,549,497,1,Traditional Food Buyers,1.0282795095146162,1.4248550158861844
2,3,31714,12319,11757,287,3881,2931,0,High & Diverse Spenders,1.82273409047803,1.1144082866047986
2,3,21217,6208,14982,3095,6707,602,0,High & Diverse Spenders,1.217881940453886,1.5078100554911362
2,3,24653,9465,12091,294,5058,2168,0,High & Diverse Spenders,1.7077320451860591,0.9194108634265945
1,3,10253,1114,3821,397,964,412,1,Traditional Food Buyers,1.6618131435577728,0.7320742426649685
2,3,1020,8816,12121,134,4508,1080,2,Grocery & Consumer Goods,1.2902546917079776,1.4969785436459708
1,3,5876,6157,2933,839,370,4478,0,High & Diverse Spenders,1.99192034691816,0.18944015812946313
2,3,18601,6327,10099,2205,2767,3181,0,High & Diverse Spenders,0.5605863148683427,2.248040694373824
1,3,7780,2495,9464,669,2518,501,2,Grocery & Consumer Goods,1.6309323783129634,0.15964699798731918
2,3,17546,4519,4602,1066,2259,2124,0,High & Diverse Spenders,1.1272124125372072,1.050856580177621
1,3,5567,871,2010,3383,375,569,1,Traditional Food Buyers,0.7492214249345834,2.261908339444088
1,3,31276,1917,4469,9408,2381,4334,0,High & Diverse Spenders,2.126875601196171,0.5207973171173412
2,3,26373,36423,22019,5154,4337,16523,0,High & Diverse Spenders,2.448938713773794,2.21534058107705
2,3,22647,9776,13792,2915,4482,5778,0,High & Diverse Spenders,1.0781141133031347,2.414658309411926
2,3,16165,4230,7595,201,4003,57,2,Grocery & Consumer Goods,2.330109127819169,1.0417111824418663
1,3,9898,961,2861,3151,242,833,1,Traditional Food Buyers,0.7108329479515966,2.078961103009769
1,3,14276,803,3045,485,100,518,1,Traditional Food Buyers,1.4685438581077195,1.9399623303247795
2,3,4113,20484,25957,1158,8604,5206,0,High & Diverse Spenders,1.783908496407113,1.1744617659043124
1,3,43088,2100,2609,1200,1107,823,1,Traditional Food Buyers,1.5664273474921715,0.6443906984034018
1,3,18815,3610,11107,1148,2134,2963,0,High & Diverse Spenders,1.0324061009094714,1.5533097199463604
1,3,2612,4339,3133,2088,820,985,1,Traditional Food Buyers,1.525753076149809,0.2912659548151595
1,3,21632,1318,2886,266,918,405,1,Traditional Food Buyers,1.9330412681336704,0.832026225447634
1,3,29729,4786,7326,6130,361,1083,0,High & Diverse Spenders,1.7344893595202924,0.35022527443436213
1,3,1502,1979,2262,425,483,395,1,Traditional Food Buyers,1.7523700386841958,0.23906342594960117
2,3,688,5491,11091,833,4239,436,2,Grocery & Consumer Goods,0.8027827459918988,1.5928548813516998
1,3,29955,4362,5428,1729,862,4626,0,High & Diverse Spenders,1.4388974154199041,0.931596320444152
2,3,15168,10556,12477,1920,6506,714,0,High & Diverse Spenders,0.986585201566735,1.423952113383594
2,3,4591,15729,16709,33,6956,433,2,Grocery & Consumer Goods,2.3810478610574,1.2494378408373077
1,3,56159,555,902,10002,212,2916,1,Traditional Food Buyers,2.495136495074585,1.4992037891948757
1,3,24025,4332,4757,9510,1145,5864,0,High & Diverse Spenders,1.8468408057278303,0.8959339042161754
1,3,19176,3065,5956,2033,2575,2802,0,High & Diverse Spenders,1.1322162179216164,1.1163106889545462
2,3,10850,7555,14961,188,6899,46,2,Grocery & Consumer Goods,2.308379845016169,1.201609523825819
2,3,630,11095,23998,787,9529,72,2,Grocery & Consumer Goods,1.8396097913282867,1.6394370416183537
2,3,9670,7027,10471,541,4618,65,2,Grocery & Consumer Goods,1.9775315927525112,0.8731705961061855
2,3,5181,22044,21531,1740,7353,4985,0,High & Diverse Spenders,1.5753793542717167,1.4916919574889995
2,3,3103,14069,21955,1668,6792,1452,0,High & Diverse Spenders,1.3655602653099919,0.8075409289032252
2,3,44466,54259,55571,7782,24171,6465,0,High & Diverse Spenders,3.112427501987354,1.9559592256958878
2,3,11519,6152,10868,584,5121,1476,0,High & Diverse Spenders,1.1455410357552076,0.8771681122418362
2,3,4967,21412,28921,1798,13583,1163,0,High & Diverse Spenders,1.7370102732110602,0.8727313219315551
1,3,6269,1095,1980,3860,609,2162,1,Traditional Food Buyers,1.2820654898328692,1.3313908075855148
1,3,3347,4051,6996,239,1538,301,2,Grocery & Consumer Goods,1.0077222725630415,1.523768289561019
2,3,40721,3916,5876,532,2587,1278,0,High & Diverse Spenders,1.6744090479734717,0.824055329215843
2,3,491,10473,11532,744,5611,224,2,Grocery & Consumer Goods,1.102725783261425,1.7777512796896802
1,3,27329,1449,1947,2436,204,1333,1,Traditional Food Buyers,1.0584596129191046,1.6965543973024622
1,3,5264,3683,5005,1057,2024,1130,0,High & Diverse Spenders,1.3359011134134156,0.4866614748979887
2,3,4098,29892,26866,2616,17740,1340,0,High & Diverse Spenders,1.989341564804534,0.9511163620669583
2,3,5417,9933,10487,38,7572,1282,2,Grocery & Consumer Goods,2.3965943964232865,0.8710198411315786
1,3,13779,1970,1648,596,227,436,1,Traditional Food Buyers,1.0816761999785411,1.9171860156923333
1,3,6137,5360,8040,129,3084,1603,2,Grocery & Consumer Goods,1.8616285774389218,0.4395775946386584
2,3,8590,3045,7854,96,4095,225,2,Grocery & Consumer Goods,1.8403243192099445,1.2696555054731222
2,3,35942,38369,59598,3254,26701,2017,0,High & Diverse Spenders,2.6451554016502503,1.5876794682702422
2,3,7823,6245,6544,4154,4074,964,0,High & Diverse Spenders,0.9423538673216041,1.5119751523125924
2,3,9396,11601,15775,2896,7677,1295,0,High & Diverse Spenders,0.8733286455628694,1.7366430192038718
1,3,4760,1227,3250,3724,1247,1145,1,Traditional Food Buyers,1.3217321277179623,0.9276542134404484
2,3,85,20959,45828,36,24231,1423,2,Grocery & Consumer Goods,3.504538723458935,1.5438364720050513
1,3,9,1534,7417,175,3468,27,2,Grocery & Consumer Goods,3.9700800946917902,1.8366309853306064
2,3,19913,6759,13462,1256,5141,834,0,High & Diverse Spenders,0.9804669968582896,1.3677015681727789
1,3,2446,7260,3993,5870,788,3095,0,High & Diverse Spenders,1.769043410307897,0.6634863679565712
1,3,8352,2820,1293,779,656,144,1,Traditional Food Buyers,1.5973253427519942,1.0917531068531805
1,3,16705,2037,3202,10643,116,1365,1,Traditional Food Buyers,1.6804581907201166,1.1197931841649564
1,3,18291,1266,21042,5373,4173,14472,0,High & Diverse Spenders,2.5327908853097414,1.244032540769282
1,3,4420,5139,2661,8872,1321,181,1,Traditional Food Buyers,2.16560810188095,0.44569894973497215
2,3,19899,5332,8713,8132,764,648,0,High & Diverse Spenders,1.619927623654235,0.6532687725853537
2,3,8190,6343,9794,1285,1901,1780,0,High & Diverse Spenders,0.5771450149085223,1.5806169482603973
1,3,20398,1137,3,4407,3,975,1,Traditional Food Buyers,6.17072189710697,2.1347538531645114
1,3,717,3587,6532,7530,529,894,1,Traditional Food Buyers,2.4177487304483107,0.13121720768081913
2,3,12205,12697,28540,869,12034,1009,0,High & Diverse Spenders,1.5833078461281214,0.8636786084082697
1,3,10766,1175,2067,2096,301,167,1,Traditional Food Buyers,1.0461050466104875,2.199221716124657
1,3,1640,3259,3655,868,1202,1653,2,Grocery & Consumer Goods,1.8626959009706965,0.09781644681990231
1,3,7005,829,3009,430,610,529,1,Traditional Food Buyers,1.4768355312262902,1.14725519276784
2,3,219,9540,14403,283,7818,156,2,Grocery & Consumer Goods,1.4946940746773165,2.2507065243425153
2,3,10362,9232,11009,737,3537,2342,0,High & Diverse Spenders,0.893455924752989,1.375021334985507
1,3,20874,1563,1783,2320,550,772,1,Traditional Food Buyers,0.8427149813026429,1.691351538497116
2,3,11867,3327,4814,1178,3837,120,2,Grocery & Consumer Goods,2.1684594007873916,0.18243182904575317
2,3,16117,46197,92780,1026,40827,2944,0,High & Diverse Spenders,3.07714784016381,1.0470844279102454
2,3,22925,73498,32114,987,20070,903,0,High & Diverse Spenders,2.7405783078642103,0.9309874678439174
1,3,43265,5025,8117,6312,1579,14351,0,High & Diverse Spenders,2.066036864245384,1.4225002941945246
1,3,7864,542,4042,9735,165,46,1,Traditional Food Buyers,2.6114310824205877,1.7534759992899418
1,3,24904,3836,5330,3443,454,3178,0,High & Diverse Spenders,1.5858292519323443,0.4376596808157438
1,3,11405,596,1638,3347,69,360,1,Traditional Food Buyers,1.3083643843505617,2.5683471914549996
1,3,12754,2762,2530,8693,627,1117,1,Traditional Food Buyers,1.519665339407761,0.6510988725508924
2,3,9198,27472,32034,3232,18906,5130,0,High & Diverse Spenders,2.0626791968309743,1.6707924602156017
1,3,11314,3090,2062,35009,71,2698,1,Traditional Food Buyers,2.7156391171294523,0.7813874248487633
2,3,5626,12220,11323,206,5038,244,2,Grocery & Consumer Goods,1.4316309919018988,1.111034087586394
1,3,3,2920,6252,440,223,709,2,Grocery & Consumer Goods,4.2526290266210145,1.1867915966287175
2,3,23,2616,8118,145,3874,217,2,Grocery & Consumer Goods,2.8211094157146213,2.1648497048384825
1,3,403,254,610,774,54,63,1,Traditional Food Buyers,3.5092086249872474,1.2400568075513259
1,3,503,112,778,895,56,132,1,Traditional Food Buyers,3.5412901811090496,1.4716859193092455
1,3,9658,2182,1909,5639,215,323,1,Traditional Food Buyers,1.0152228041491589,1.9002787191156316
2,3,11594,7779,12144,3252,8035,3029,0,High & Diverse Spenders,0.7923274406962328,2.1874499943979338
2,3,1420,10810,16267,1593,6766,1838,0,High & Diverse Spenders,1.6075862328054529,0.3792304306947567
2,3,2932,6459,7677,2561,4573,1386,0,High & Diverse Spenders,1.0709142053655398,0.9668051741282917
1,3,56082,3504,8906,18028,1480,2498,0,High & Diverse Spenders,2.157878963025607,0.9189134030245261
1,3,14100,2132,3445,1336,1491,548,1,Traditional Food Buyers,1.3057524875399669,0.6367475801294562
1,3,15587,1014,3970,910,139,1378,1,Traditional Food Buyers,1.2781616054145346,1.5660604769327076
2,3,1454,6337,10704,133,6830,1831,2,Grocery & Consumer Goods,1.601161700691191,1.061498467314381
2,3,8797,10646,14886,2471,8969,1438,0,High & Diverse Spenders,0.8554263816950666,1.6791512261739272
2,3,1531,8397,6981,247,2505,1236,2,Grocery & Consumer Goods,1.191715714961508,1.05392855263656
2,3,1406,16729,28986,673,836,3,2,Grocery & Consumer Goods,3.8216820303793266,1.4210981724422016
1,3,11818,1648,1694,2276,169,1647,1,Traditional Food Buyers,0.8725001960237805,1.8742996713014688
2,3,12579,11114,17569,805,6457,1519,0,High & Diverse Spenders,1.0979662155083347,1.2183749539305206
1,3,19046,2770,2469,8853,483,2708,1,Traditional Food Buyers,1.8880908985778233,0.36846778404185576
1,3,14438,2295,1733,3220,585,1561,1,Traditional Food Buyers,1.1231477570678985,1.1028652059792212
1,3,18044,1080,2000,2555,118,1266,1,Traditional Food Buyers,0.9809690314753297,2.068987047538136
1,3,11134,793,2988,2715,276,610,1,Traditional Food Buyers,0.7854988633481157,2.1335884157201197
1,3,11173,2521,3355,1517,310,222,1,Traditional Food Buyers,1.0732212308099478,1.517940204354264
1,3,6990,3880,5380,1647,319,1160,1,Traditional Food Buyers,1.367462940138387,0.28452383255259006
1,3,20049,1891,2362,5343,411,933,1,Traditional Food Buyers,1.1225646148155153,1.2835910318582242
1,3,8258,2344,2147,3896,266,635,1,Traditional Food Buyers,0.6678838400377056,1.8232816431977754
1,3,17160,1200,3412,2417,174,1136,1,Traditional Food Buyers,0.9306230029650471,1.7139405265064083
1,3,4020,3234,1498,2395,264,255,1,Traditional Food Buyers,1.1090867986998343,1.7681475076705961
1,3,12212,201,245,1991,25,860,1,Traditional Food Buyers,2.988906827055103,2.5760113575190213
2,3,11170,10769,8814,2194,1976,143,0,High & Diverse Spenders,2.0381748519741847,0.27858906223994273
1,3,36050,1642,2961,4787,500,1621,1,Traditional Food Buyers,1.5554223908139135,0.7832334786559969
1,3,76237,3473,7102,16538,778,918,0,High & Diverse Spenders,2.398151396006196,0.3522766003559621
1,3,19219,1840,1658,8195,349,483,1,Traditional Food Buyers,1.3076364533281142,1.5936851540546315
2,3,21465,7243,10685,880,2386,2749,0,High & Diverse Spenders,0.8898988749507187,1.8165306992088026
1,3,140,8847,3823,142,1062,3,2,Grocery & Consumer Goods,3.9369047402716735,1.591928436768625
1,3,42312,926,1510,1718,410,1819,1,Traditional Food Buyers,1.5469991923021058,1.4779845577249642
1,3,7149,2428,699,6316,395,911,1,Traditional Food Buyers,1.436689791787676,1.661562643074941
1,3,2101,589,314,346,70,310,1,Traditional Food Buyers,2.644477286166855,1.722026943167359
1,3,14903,2032,2479,576,955,328,1,Traditional Food Buyers,1.4399472035512721,1.0381649549168934
1,3,9434,1042,1235,436,256,396,1,Traditional Food Buyers,1.3495240068061551,1.846061908354857
1,3,7388,1882,2174,720,47,537,1,Traditional Food Buyers,1.267264456983375,2.0531990216239953
1,3,6300,1289,2591,1170,199,326,1,Traditional Food Buyers,0.7201715331651408,2.1389442455982044
1,3,4625,8579,7030,4575,2447,1542,0,High & Diverse Spenders,0.9345472342670849,1.6390527286979168
1,3,3087,8080,8282,661,721,36,2,Grocery & Consumer Goods,2.1247811783278943,1.078756004522702
1,3,13537,4257,5034,155,249,3271,0,High & Diverse Spenders,2.688627089417413,0.03252028051629363
1,3,5387,4979,3343,825,637,929,1,Traditional Food Buyers,1.545453654656079,0.23406542251595686
1,3,17623,4280,7305,2279,960,2616,0,High & Diverse Spenders,0.9886119882467636,1.1379630202179771
1,3,30379,13252,5189,321,51,1450,0,High & Diverse Spenders,2.9612085314589085,0.02483652443507811
1,3,37036,7152,8253,2995,20,3,1,Traditional Food Buyers,4.69584043624452,0.6838227792951876
1,3,10405,1596,1096,8425,399,318,1,Traditional Food Buyers,1.3830664252391538,1.889274132836024
1,3,18827,3677,1988,118,516,201,1,Traditional Food Buyers,2.5975727394862647,0.2138625651345465
